Date,Close
2024-11-28,2367.0
2024-11-29,2387.8
2024-12-02,2392.2
2024-12-03,2352.0
2024-12-04,2288.6
2024-12-05,2371.0
2024-12-06,2350.0
2024-12-09,2395.0
2024-12-10,2345.2
2024-12-11,2346.4
2024-12-12,2305.4
2024-12-13,2289.0
2024-12-16,2182.0
2024-12-17,2221.4
2024-12-18,2260.2
2024-12-19,2272.0
2024-12-20,2543.0
2024-12-23,2624.4
2024-12-24,2569.6
2024-12-25,2634.4
2024-12-26,2625.8
2024-12-27,2637.0
2024-12-28,2662.8
2024-12-30,2752.2
2025-01-03,2687.6
2025-01-06,2714.0
2025-01-08,2750.6
2025-01-09,2734.0
2025-01-10,2900.0
2025-01-13,2891.6
2025-01-14,2938.0
2025-01-15,2985.6
2025-01-16,2980.8
2025-01-17,3052.8
2025-01-20,2969.8
2025-01-21,3041.8
2025-01-22,3005.8
2025-01-23,3022.2
2025-01-24,3009.6
2025-01-27,2912.8
2025-01-28,3004.6
2025-01-29,3020.2
2025-01-30,3057.0
2025-01-31,3041.8
2025-02-03,3036.2
2025-02-04,3000.6
2025-02-05,3079.8
2025-02-06,3103.0
2025-02-07,3105.0
2025-02-10,3143.8
2025-02-11,3176.0
2025-02-12,3373.2
2025-02-13,3328.0
2025-02-14,3364.4
2025-02-17,3492.0
2025-02-18,3390.6
2025-02-19,3455.0
2025-02-20,3436.6
2025-02-21,3425.0
2025-02-24,3452.0
2025-02-25,3434.6
2025-02-26,3324.8
2025-02-27,3241.6
2025-02-28,3287.6
2025-03-03,3215.2
2025-03-04,3383.2
2025-03-05,3327.6
2025-03-06,3368.2
2025-03-07,3414.8
2025-03-10,3422.6
2025-03-11,3419.8
2025-03-12,3417.2
2025-03-13,3374.2
2025-03-14,3440.4
2025-03-17,3533.8
2025-03-18,3564.8
2025-03-19,3640.0
2025-03-20,3632.4
2025-03-21,3605.0
2025-03-24,3597.6
2025-03-25,3619.8
2025-03-26,3557.6
2025-03-27,3398.8
2025-03-28,3304.0
2025-03-31,3365.4
2025-04-01,3252.2
2025-04-02,3302.2
2025-04-03,3272.4
2025-04-04,3040.0
2025-04-07,3096.6
2025-04-08,2999.6
2025-04-09,3148.8
2025-04-10,3101.2
2025-04-11,3169.4
